Facility Type,Loc Id,ADO,State Id,County,County State,City,Name,Ownership,Use,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,Elevation,Magnetic Variation,Sectional,Tie In FSS Id,Tie In FSS Name,FSS Toll Free Number,Fuel Types,ATCT,UNICOM,CTAF,ICAO Id
AIRPORT,MSV,NYC,NY,SULLIVAN,NY,MONTICELLO,SULLIVAN COUNTY INTL,PU,PU,041-42-05.9000N,150125.9000N,074-47-42.1000W,0269262.1000W,1403.1,12W,NEW YORK,ISP,NEW YORK,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMSV
AIRPORT,MSY,LNM,LA,JEFFERSON,LA,NEW ORLEANS,LOUIS ARMSTRONG NEW ORLEANS INTL,PU,PU,029-59-35.8000N,107975.8000N,090-15-32.5000W,0324932.5000W,3.7,01W,NEW ORLEANS,DRI,DE RIDDER,1-800-WX-BRIEF,100LL A,Y,122.950,,KMSY
AIRPORT,MTH,ORL,FL,MONROE,FL,MARATHON,THE FLORIDA KEYS MARATHON INTL,PU,PU,024-43-34.3000N,089014.3000N,081-03-04.9000W,0291784.9000W,5.2,04W,MIAMI,MIA,MIAMI,1-800-WX-BRIEF,100LL A1+,N,122.975,122.975,KMTH
AIRPORT,MTJ,DEN,CO,MONTROSE,CO,MONTROSE,MONTROSE RGNL,PU,PU,038-30-35.3000N,138635.3000N,107-53-39.3000W,0388419.3000W,5758.5,12E,DENVER,DEN,DENVER,1-800-WX-BRIEF,100LL A+,N,122.800,122.800,KMTJ
AIRPORT,MTN,DCA,MD,BALTIMORE,MD,BALTIMORE,MARTIN STATE,PU,PU,039-19-32.4000N,141572.4000N,076-24-49.6000W,0275089.6000W,21.5,11W,WASHINGTON,DCA,LEESBURG,1-800-WX-BRIEF,100LL A A+,Y,122.950,121.300,KMTN
AIRPORT,MTO,CHI,IL,COLES,IL,MATTOON/CHARLESTON,COLES COUNTY MEML,PU,PU,039-28-40.4000N,142120.4000N,088-16-47.9000W,0317807.9000W,722.3,03W,ST LOUIS,STL,SAINT LOUIS,1-800-WX-BRIEF,100LL A,N,122.700,122.700,KMTO
AIRPORT,MTP,NYC,NY,SUFFOLK,NY,MONTAUK,MONTAUK,PR,PU,041-04-36.0000N,147876.0000N,071-55-13.7000W,0258913.7000W,6.8,15W,NEW YORK,ISP,NEW YORK,1-800-WX-BRIEF,,N,122.700,122.700,KMTP
AIRPORT,MTV,DCA,VA,HENRY,VA,MARTINSVILLE,BLUE RIDGE,PU,PU,036-37-50.7100N,131870.7090N,080-01-06.0200W,0288066.0180W,940.9,07W,CINCINNATI,DCA,LEESBURG,1-800-WX-BRIEF,100LL A+,N,122.700,122.700,KMTV
AIRPORT,MTW,CHI,WI,MANITOWOC,WI,MANITOWOC,MANITOWOC COUNTY,PU,PU,044-07-43.6000N,158863.6000N,087-40-50.1000W,0315650.1000W,650.9,02W,GREEN BAY,GRB,GREEN BAY,1-800-WX-BRIEF,100LL A+ MOGAS,N,122.800,122.800,KMTW
AIRPORT,MUL,ATL,GA,COLQUITT,GA,MOULTRIE,SPENCE,PU,PU,031-08-15.6700N,112095.6720N,083-42-14.6100W,0301334.6150W,292,02W,JACKSONVILLE,MCN,MACON,1-800-WX-BRIEF,,N,123.000,123.000,KMUL
AIRPORT,MUT,NONE,IA,MUSCATINE,IA,MUSCATINE,MUSCATINE MUNI,PU,PU,041-22-04.4000N,148924.4000N,091-08-53.6000W,0328133.6000W,547.2,01W,CHICAGO,FOD,FORT DODGE,1-800-WX-BRIEF,100LL A,N,122.700,122.700,KMUT
